event_id,event_name,club_name,category,date,start_time,end_time,address,description
56920,Latch-hook Lounge,Sew Laurier,Class/Workshop,1 April,"Wed, 1 Apr 2026 1:00 PM","Wed, 1 Apr 2026 5:00 PM","75 University Avenue West, Waterloo, ON, Canada","Date: April 1st, 2026 (Yes you are not reading that wrong) Time: 2–6 PM (drop‑in) Location: TBD Materials + free snacks provided Want a break from the ads? Want to turn your favourite pixel art into something you can actually touch? Want to try something similar to cross stitch?Come hang out at our Latch Hook Lounge, where we’ll be making mini latch‑hook pieces, think fluffy, colourful squares that bring pixel art to life. Whether you want to make a cute coaster, a tiny wall piece, or just try latch hooking for the first time, we’ve got everything you need. No experience required; it’s literally just pulling yarn through a grid. Very therapeutic. Come socialize, craft, snack, or just chill. You’re welcome to drop in, work on personal projects, study, or vibe with everyone else who’s procrastinating in a wholesome way. Stay for ten minutes or the whole time, totally up to you."
53261,Career and Development night,Association of Political Science Students (APSS),Industry/Career,1 April,"Wed, 1 Apr 2026 5:00 PM","Wed, 1 Apr 2026 6:30 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","A unique experience, as students hear from 3-5 political science alumni and there journey's."
54286,Pub Night,Sussex Association at Laurier (Waterloo),Other,1 April,"Wed, 1 Apr 2026 5:00 PM","Wed, 1 Apr 2026 8:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada",Join us for a pub themed night at Wilfs! This is a great opportunity to get to know other people in the Sussex program and enjoy Wilfs' catering! Come with a table group for our UK themed trivia or come solo and be put with a group. This will be a fun and lively event that is free for everyone to enjoy! Be sure to purchase a ticket (free of charge) to secure your spot. Walk ins are welcome but will not be guaranteed a seat.
50706,Spring Fling: Easter Egg Painting & Hunt,Laurier Book Club (Waterloo),Party/BBQ/Social,1 April,"Wed, 1 Apr 2026 7:00 PM","Wed, 1 Apr 2026 10:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Title: Spring Fling: Easter Egg Painting & Hunt Time: 7:00–10:00 PM Location: Hawk’s Nest Description: Celebrate the season with Laurier Book Club at our Easter-themed social featuring egg painting, a lighthearted egg hunt, and spring-inspired activities. This event focuses on creativity, community, and fun in a relaxed environment. Dinner and materials will be provided."
56643,banh mi night,Laurier Vietnamese Students Association (LVSA) (Waterloo),Other,1 April,"Wed, 1 Apr 2026 7:00 PM","Wed, 1 Apr 2026 9:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Join us for a fun Banh Mi Night! Come hang out, meet new, people, and take part in some exciting games and activities with fellow members of the community. We'll be playing a variety of interactive games throughout the evening, so bring your friends and competitive spirit. To wrap up the night, we'll be giving out free banh mi for everyone to enjoy. It's the perfect chance to relax, have some laughs, and enjoy a classic Vietnamese sandwich with great company. Banh mi may be limited so make sure to come and secure your spot! We hope to see you there!"
57835,Build Your Own Bouquet with AUS,AUS,Other,2 April,"Thu, 2 Apr 2026 11:30 AM","Thu, 2 Apr 2026 2:30 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","On April 2nd from 11:30am-2:30pm, join AUS for a Build Your Own Bouquet event! We will have lots of exciting flowers to choose from!"
57802,SAME End of Year Picnic,Students Association of Music Educators (SAME) (Waterloo),Party/BBQ/Social,2 April,"Thu, 2 Apr 2026 1:00 PM","Thu, 2 Apr 2026 4:00 PM","50 Young Street West, Waterloo, ON, Canada","Join SAM-E for our end of year picnic! Fun and games at Waterloo park to celebrate the end of the year, and new beginnings for all those who are graduating this year. We will have lawn games and music!"
51270,PS102 Exam Trivia,Laurier Psychology Society (Waterloo),Quiz/Trivia,2 April,"Thu, 2 Apr 2026 6:00 PM","Thu, 2 Apr 2026 8:00 PM","75 University Avenue West, Waterloo, ON, Canada","Our PS102 Trivia night is an opportunity to study for your exam in a comfortable, informative, and fun environment! Catered snacks provided, and winners can earn gift cards! With the Laurier Psychology Society, you also get the chance to learn more about the course content and psychology as a whole by getting help from psychology upper years on central psychology concepts!"
49180,Casino Night,Kin Kouncil (Waterloo),Ball/Dinner/Gala,2 April,"Thu, 2 Apr 2026 7:00 PM","Thu, 2 Apr 2026 10:00 PM","Senate and Board Chambers, Waterloo, ON, Canada","This Casino Night, on-campus social is intended to foster student engagement and peer connection. The event will include card games using non-monetary chips, great background music, and supervised activities by the Kouncil Executives. Food and drinks will be provided (still TBD). There will be no exchange of money, prizes, or betting, and all activities will comply with university policies and event guidelines."
52201,Weekly gathering,Power to Change,Party/BBQ/Social,2 April,"Thu, 2 Apr 2026 7:00 PM","Thu, 2 Apr 2026 9:00 PM","73 George St, Brantford, ON N3T 2Y3, Canada","This event is our group's weekly gathering where members of the group, and people interested in the group, can come together to take part in a bible study, worship, and prayer."
50843,Greek Egg-Painting,Hellenic Students Association (Waterloo),Party/BBQ/Social,2 April,"Thu, 2 Apr 2026 7:00 PM","Thu, 2 Apr 2026 9:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Join HSA and participate in traditional Greek Egg-Painting! Socialize, paint eggs, and have fun enjoying Greek culture!"
51930,Resound,Power to Change - Laurier (P2C) (Waterloo),Other,2 April,"Thu, 2 Apr 2026 7:00 PM","Thu, 2 Apr 2026 9:30 PM","Arts C Wing, Waterloo, ON, Canada","Welcome!Resound is our weekly gathering for anyone who wants to learn and grow in their understanding of Christianity. Join us Thursday at 7pm for a time of learning, worship and community! Want more info? Check out our instagram page @p2claurier for updates/more information."
57327,CP216 Final Review Session,Laurier Computing Society (LCS) (Waterloo),Class/Workshop,2 April,"Thu, 2 Apr 2026 7:30 PM","Thu, 2 Apr 2026 9:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","An interactive final review session for computer science students taking the essential second year course, Microprocessors (CP216). It offers a unique opportunity to review key concepts and engage with the material in a lively and interactive format. Participants can look forward to refreshing their knowledge!"
57163,Silence of the Exams: Movie Night,Laurier BSA,Party/BBQ/Social,2 April,"Thu, 2 Apr 2026 7:30 PM","Thu, 2 Apr 2026 10:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","The textbooks are piling up, the deadlines are looming, and that coffee is starting to taste like pure anxiety. It's time to escape the library.Join Laurier Bangladeshi Students' Association for a special edition of Silence of the Exams: Movie Night! We’re shutting out the stress and pressing play on a night of relaxation. Come hang out in the dark with us, enjoy some free popcorn and snacks, and take a break from the semester madness."
49425,Bible Study (DG),Power to Change - Laurier (P2C) (Waterloo),Class/Workshop,3 April,"Fri, 3 Apr 2026 3:00 PM","Fri, 3 Apr 2026 4:00 PM","75 University Avenue West, Waterloo, ON, Canada",Weekly Bible studies to grow spiritually together!
51370,Weekly Games Night!,GHG,Party/BBQ/Social,3 April,"Fri, 3 Apr 2026 9:00 PM","Fri, 3 Apr 2026 11:00 PM",Online Event,A weekly game night where everyone can vote on what they'd like to play! Come join us in our discord server every Friday at 9pm to join!
55146,Demo Day,Virtual Reality Laurier (Waterloo),Industry/Career,4 April,"Sat, 4 Apr 2026 8:00 AM","Sat, 4 Apr 2026 5:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Step into the future of innovation at our VR Tech Challenge Event 🚀At the start of the event, participants will be given a real-world challenge to solve using virtual reality. Whether you're passionate about tech, design, or problem-solving, this is your chance to think creatively and push boundaries using immersive technology.Throughout the event, you'll collaborate, brainstorm, and build your solution—then present your idea to others. It’s not just about winning; it’s about learning, networking, and exploring what’s possible with VR.Why you should attend:Experience hands-on problem-solving with cutting-edge VR techShowcase your creativity and technical skillsConnect with like-minded innovators and industry enthusiastsGain valuable presentation and teamwork experienceCome ready to build, pitch, and be inspired. No matter your experience level, if you're curious about VR and innovation, this event is for you."
51351,Sunday Game Night! ,GHG,Other,5 April,"Sun, 5 Apr 2026 9:00 PM","Sun, 5 Apr 2026 11:59 PM",Online Event,"In addition to our regular Friday Game Night, the club will be implementing another one every Sunday! During this event, we will playing games including, but not limited to, Jackbox, Gartic Phone, Just Act Natural, and much more! We look forward to seeing everyone at this new event!"
58089,Photo Card Deco + Chill Study Session,SAKURA,Class/Workshop,6 April,"Mon, 6 Apr 2026 5:30 PM","Mon, 6 Apr 2026 8:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada",De-stress from finals season by decorating photo card top-loaders or chill and study in the room while enjoying snacks and the pleasant company. There will also be a hear me out cake being made digitally as a group for those who wish to participate.
49820,General Meetings,WLU Piano Forum (Waterloo),Other,6 April,"Mon, 6 Apr 2026 6:00 PM","Mon, 6 Apr 2026 8:00 PM","Wilfrid Laurier University Waterloo Campus, University Avenue West, Waterloo, ON, Canada","Join the WLU Piano Forum for our weekly club meetings on Mondays at 6:00pm, room M4031 in the Savvas Chamberlain Music Building!All attendees are welcome to perform and discuss any music they have prepared for other club members, with the option to receive constructive advice about their playing - musicians of all skill levels with interests of all kinds are welcome to join.We look forward to seeing you there and being able to share our love of music with everyone that attends!"
49405,Reoccurring Weekly Meetings,MUN,Other,6 April,"Mon, 6 Apr 2026 7:30 PM","Mon, 6 Apr 2026 9:30 PM","75 University Avenue West, Waterloo, ON, Canada",We will provide training on Model UN procedure and host MUN-style simulations to provide opportunities for practice.
51820,General Meetings,Laurier Investment and Finance Association (LIFA) (Waterloo),Industry/Career,7 April,"Tue, 7 Apr 2026 9:00 PM","Tue, 7 Apr 2026 10:00 PM","Lazaridis School of Business and Economics, University Avenue West, Waterloo, ON, Canada","Our General Meetings are the cornerstone to our programming activities and is open to any Laurier student looking to get introduced, involved or connected into the finance and related industries. Weekly lessons are taught by some of Laurier's brightest and are designed to give LIFA members a strong understanding of businesses through a financial lens. The goal of our General Meeting sessions is to create a strong ecosystem of students working towards careers in finance."
54831,Banquet ,Power to Change - Laurier (P2C) (Waterloo),Other,8 April,"Wed, 8 Apr 2026 5:00 PM","Wed, 8 Apr 2026 9:00 PM","Waterloo, ON, Canada","Join us for our End-of-Year Banquet as we celebrate the year with food, friends, and fun! Come reflect, hang out, and enjoy time together as a P2C fam!"
54761,LSFL Winter 2026 Volunteer Appreciation Event,Laurier Students for Literacy,Other,8 April,"Wed, 8 Apr 2026 6:00 PM","Wed, 8 Apr 2026 8:00 PM","One Market, Market Street, Brantford, ON, Canada",Join us for a pizza dinner in appreciation of your hard work this term! See you on April 8 from 6pm-8pm in the Level 1 Lounge!
51371,Weekly Games Night!,GHG,Party/BBQ/Social,10 April,"Fri, 10 Apr 2026 9:00 PM","Fri, 10 Apr 2026 11:00 PM",Online Event,A weekly game night where everyone can vote on what they'd like to play! Come join us in our discord server every Friday at 9pm to join!
51354,Sunday Game Night! ,GHG,Other,12 April,"Sun, 12 Apr 2026 9:00 PM","Sun, 12 Apr 2026 11:59 PM",Online Event,"In addition to our regular Friday Game Night, the club will be implementing another one every Sunday! During this event, we will playing games including, but not limited to, Jackbox, Gartic Phone, Just Act Natural, and much more! We look forward to seeing everyone at this new event!"
51353,Sunday Game Night! ,GHG,Other,12 April,"Sun, 12 Apr 2026 9:00 PM","Sun, 12 Apr 2026 11:59 PM",Online Event,"In addition to our regular Friday Game Night, the club will be implementing another one every Sunday! During this event, we will playing games including, but not limited to, Jackbox, Gartic Phone, Just Act Natural, and much more! We look forward to seeing everyone at this new event!"
51352,Sunday Game Night! ,GHG,Other,12 April,"Sun, 12 Apr 2026 9:00 PM","Sun, 12 Apr 2026 11:59 PM",Online Event,"In addition to our regular Friday Game Night, the club will be implementing another one every Sunday! During this event, we will playing games including, but not limited to, Jackbox, Gartic Phone, Just Act Natural, and much more! We look forward to seeing everyone at this new event!"
51821,General Meetings,Laurier Investment and Finance Association (LIFA) (Waterloo),Industry/Career,14 April,"Tue, 14 Apr 2026 9:00 PM","Tue, 14 Apr 2026 10:00 PM","Lazaridis School of Business and Economics, University Avenue West, Waterloo, ON, Canada","Our General Meetings are the cornerstone to our programming activities and is open to any Laurier student looking to get introduced, involved or connected into the finance and related industries. Weekly lessons are taught by some of Laurier's brightest and are designed to give LIFA members a strong understanding of businesses through a financial lens. The goal of our General Meeting sessions is to create a strong ecosystem of students working towards careers in finance."
